name,family,num_qubits,method,swap_count,swap_count_source,routing_score,terminal_objective,routing_time_sec,runtime,evaluating_router,original_num_qubits,original_gate_count_all,original_1q_count_all,original_2q_count_all,original_cnot_count_all,original_depth,routed_gate_count_all,routed_1q_count_all,routed_2q_count_all,routed_swap_count,routed_cnot_raw_count,routed_cnot_equiv_count,routed_depth,additional_gates_total,additional_1q_total,additional_2q_total,additional_swap_count,additional_cnot_equiv_from_swap,depth_overhead
alu-v2_32,alu-v2,5,qiskit_sabre_full,15.0,exact_swap_ops,15.0,15.0,0.0065397999715059996,0.0065397999715059996,qiskit_sabre_full,5.0,111.0,69.0,42.0,42.0,88.0,126.0,69.0,57.0,15.0,42.0,87.0,112.0,15.0,0.0,15.0,15.0,45.0,24.0
4gt5_77,4gt5,16,qiskit_sabre_full,31.0,exact_swap_ops,31.0,31.0,0.006727899890393019,0.006727899890393019,qiskit_sabre_full,16.0,163.0,105.0,58.0,58.0,91.0,194.0,105.0,89.0,31.0,58.0,151.0,138.0,31.0,0.0,31.0,31.0,93.0,47.0
alu-v1_29,alu-v1,16,qiskit_sabre_full,8.0,exact_swap_ops,8.0,8.0,0.009509399998933077,0.009509399998933077,qiskit_sabre_full,16.0,45.0,28.0,17.0,17.0,29.0,53.0,28.0,25.0,8.0,17.0,41.0,39.0,8.0,0.0,8.0,8.0,24.0,10.0
hwb6_57,hwb6,6,qiskit_sabre_full,620.0,exact_swap_ops,620.0,620.0,0.022828900022432208,0.022828900022432208,qiskit_sabre_full,6.0,4503.0,3100.0,1403.0,1403.0,3324.0,5123.0,3100.0,2023.0,620.0,1403.0,3263.0,4073.0,620.0,0.0,620.0,620.0,1860.0,749.0
one-two-three-v0_98,one-two-three-v0,5,qiskit_sabre_full,15.0,exact_swap_ops,15.0,15.0,0.006266100099310279,0.006266100099310279,qiskit_sabre_full,5.0,132.0,86.0,46.0,46.0,88.0,147.0,86.0,61.0,15.0,46.0,91.0,123.0,15.0,0.0,15.0,15.0,45.0,35.0
urf1_278,urf1,16,qiskit_sabre_full,21006.0,exact_swap_ops,21006.0,21006.0,0.46284089982509613,0.46284089982509613,qiskit_sabre_full,16.0,67070.0,40378.0,26692.0,26692.0,37353.0,88076.0,40378.0,47698.0,21006.0,26692.0,89710.0,66575.0,21006.0,0.0,21006.0,21006.0,63018.0,29222.0
decod24-v1_42,decod24-v1,4,qiskit_sabre_full,2.0,exact_swap_ops,2.0,2.0,0.00989270000718534,0.00989270000718534,qiskit_sabre_full,4.0,39.0,28.0,11.0,11.0,34.0,41.0,28.0,13.0,2.0,11.0,17.0,35.0,2.0,0.0,2.0,2.0,6.0,1.0
rd73_140,rd73,10,qiskit_sabre_full,20.0,exact_swap_ops,20.0,20.0,0.01077000005170703,0.01077000005170703,qiskit_sabre_full,10.0,272.0,182.0,90.0,90.0,124.0,292.0,182.0,110.0,20.0,90.0,150.0,189.0,20.0,0.0,20.0,20.0,60.0,65.0
root_255,root,16,qiskit_sabre_full,5111.0,exact_swap_ops,5111.0,5111.0,0.12735480000264943,0.12735480000264943,qiskit_sabre_full,16.0,21439.0,13946.0,7493.0,7493.0,10706.0,26550.0,13946.0,12604.0,5111.0,7493.0,22826.0,18630.0,5111.0,0.0,5111.0,5111.0,15333.0,7924.0
hwb8_117,hwb8,8,qiskit_sabre_full,6195.0,exact_swap_ops,6195.0,6195.0,0.15730530000291765,0.15730530000291765,qiskit_sabre_full,8.0,31143.0,21138.0,10005.0,10005.0,22241.0,37338.0,21138.0,16200.0,6195.0,10005.0,28590.0,28103.0,6195.0,0.0,6195.0,6195.0,18585.0,5862.0
co14_215,co14,15,qiskit_sabre_full,8390.0,exact_swap_ops,8390.0,8390.0,0.24678660021163523,0.24678660021163523,qiskit_sabre_full,15.0,52222.0,37046.0,15176.0,15176.0,39238.0,60612.0,37046.0,23566.0,8390.0,15176.0,40346.0,48260.0,8390.0,0.0,8390.0,8390.0,25170.0,9022.0
routing_stress_32_0230,routing_stress,32,qiskit_sabre_full,89.0,exact_swap_ops,89.0,89.0,0.007726100040599704,0.007726100040599704,qiskit_sabre_full,32.0,339.0,252.0,87.0,87.0,56.0,428.0,252.0,176.0,89.0,87.0,354.0,120.0,89.0,0.0,89.0,89.0,267.0,64.0
